what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359359014
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359363693
error,log,,,"New Project Wizard failed",1372359389656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359392112
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1372359392121
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1372359392121
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359394677
error,log,,,"New Project Wizard failed",1372359426564
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359441586
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1372359441596
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1372359441596
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359445733
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359458171
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1372359464742
started,bundle,org.eclipse.jdt.launching,3.6.1.v20111006_r372,"org.eclipse.jdt.launching",1372359464760
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359467189
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359471542
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359473874
error,log,,,"New Project Wizard failed",1372359494998
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359520991
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1372359520999
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359526811
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359559835
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359561767
error,log,,,"New Project Wizard failed",1372359572483
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359573737
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1372359573746
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359576091
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359580971
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359586365
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359637427
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359641383
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1372359651763
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1372359651788
error,log,,,"Exception occurred while saving project preferences: /StockQuote/.settings/org.eclipse.jdt.core.prefs.",1372359651976
error,log,,,"Exception occurred while saving project preferences: /StockQuote/.settings/org.eclipse.jdt.core.prefs.",1372359651978
error,log,,,"Exception occurred while saving project preferences: /StockQuote/.settings/org.eclipse.jdt.core.prefs.",1372359651980
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359652007
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1372359652016
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1372359652184
started,bundle,org.eclipse.egit.core,1.3.0.201202151440-r,"org.eclipse.egit.core",1372359652220
started,bundle,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui",1372359652255
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1372359653543
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1372359653544
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359655188
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1372359656212
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359659477
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1372359662574
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1372359666299
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1372359666302
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1372359667623
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359668987
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359670999
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1372359671005
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372359682206
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372359682317
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1372359682944
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1372359684547
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1372359695221
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372359704221
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372359707052
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1372359707409
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359709288
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359718106
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1372359718135
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359725396
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359739976
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359741920
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359743742
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1372359743750
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359745510
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359752545
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359755517
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372359759667
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359759727
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1372359759734
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1372359759734
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359761737
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359764203
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359765789
error,log,,,"",1372359791162
error,log,,,"",1372359791164
error,log,,,"",1372359791166
error,log,,,"Exception occurred while saving project preferences: /Calculator/.settings/org.eclipse.jdt.core.prefs.",1372359791169
error,log,,,"Exception occurred while saving project preferences: /Calculator/.settings/org.eclipse.jdt.core.prefs.",1372359791172
error,log,,,"Exception occurred while saving project preferences: /Calculator/.settings/org.eclipse.jdt.core.prefs.",1372359791176
error,log,,,"Exception occurred while saving project preferences: /CrazyTipCalculator/.settings/org.eclipse.jdt.core.prefs.",1372359791187
error,log,,,"Exception occurred while saving project preferences: /CrazyTipCalculator/.settings/org.eclipse.jdt.core.prefs.",1372359791189
error,log,,,"Exception occurred while saving project preferences: /CrazyTipCalculator/.settings/org.eclipse.jdt.core.prefs.",1372359791192
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359791194
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1372359791202
error,log,,,"Exception occurred while saving project preferences: /StockQuote/.settings/org.eclipse.jdt.core.prefs.",1372359791204
error,log,,,"Exception occurred while saving project preferences: /StockQuote/.settings/org.eclipse.jdt.core.prefs.",1372359791207
error,log,,,"Exception occurred while saving project preferences: /StockQuote/.settings/org.eclipse.jdt.core.prefs.",1372359791209
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359793464
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372364191177
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372364193240
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372364197666
activated,view,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1372364203937
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1372364203959
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1372364205476
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1372364205493
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372364214977
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372364225355
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372364235447
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372364236787
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1372364236792
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1372364236996
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1372364237105
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1372364237119
