what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372710547410
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372710549249
activated,editor,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.editors.CommonXmlEditor",1372710549303
error,log,,,"Exception while reading /AddressBookApp/.classpath",1372710549417
error,log,,,"Exception while reading /AddressBookApp/.classpath",1372710549438
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1372710549620
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372710552353
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372710565086
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1372710567546
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372710570405
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372710574554
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372710575215
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372710608865
activated,editor,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.editors.CommonXmlEditor",1372710608911
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372710609952
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372710615307
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372710616790
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372710623921
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372710624660
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372710701226
error,log,,,"WARNING: Prevented recursive attempt to activate part org.eclipse.ui.console.ConsoleView while still in the middle of activating part com.android.ide.eclipse.editors.CommonXmlEditor",1372710702251
error,log,,,"WARNING: Prevented recursive attempt to activate part org.eclipse.ui.console.ConsoleView while still in the middle of activating part com.android.ide.eclipse.editors.CommonXmlEditor",1372710702254
error,log,,,"WARNING: Prevented recursive attempt to activate part org.eclipse.ui.console.ConsoleView while still in the middle of activating part com.android.ide.eclipse.editors.CommonXmlEditor",1372710702257
activated,editor,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.editors.CommonXmlEditor",1372710702258
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1372710715158
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372710718552
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372710718587
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1372710725128
activated,editor,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.editors.CommonXmlEditor",1372710725199
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372710725203
error,log,,,"Exception while reading /AddressBookApp/.classpath",1372710725262
error,log,,,"Exception while reading /AddressBookApp/.classpath",1372710725270
