what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372726705660
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372726713512
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372726715998
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372726722673
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372726732765
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372726747580
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372726749107
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372726749862
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372726757621
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372726759291
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372726763286
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372726763780
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372726778019
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372726788853
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372726789651
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372726793579
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372726806358
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372726821450
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372726875349
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372726875991
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372726882378
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372726883062
