what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372364910234
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1372364915394
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372364916995
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372364920147
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372364921191
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372364932386
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372364940212
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372364959455
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372364977210
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372364978199
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1372364981720
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1372364981894
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1372364982060
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1372364982414
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1372364983130
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1372364984827
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1372364985777
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1372364987459
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1372364991957
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372364991985
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372364996160
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372364998452
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372364999133
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365000371
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1372365006827
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372365010648
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372365068511
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365093684
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365094766
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365101395
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365101502
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365105971
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365106077
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372365127733
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365130306
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365130372
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365132535
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365133008
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365139346
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365142525
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372365159448
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1372365170725
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365175498
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365177594
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372365183691
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365186692
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365186786
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365188671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365196157
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372365215675
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365218645
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365218756
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365219523
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365221048
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365223008
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365223139
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365232159
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365233036
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372365246460
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365250181
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365250276
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365250821
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365253343
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372365261909
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372365271232
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372365296707
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365340430
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365340533
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372365361117
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372365382668
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365383569
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365386185
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365395959
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365402091
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372365405060
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365407575
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365436644
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372365439779
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372365473029
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365491804
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365493659
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1372365496529
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1372365497500
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365498094
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365500200
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365521415
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365522080
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372365550022
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365551988
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365553480
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372365575784
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1372365641208
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1372365643404
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1372365655534
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1372365657848
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372365661457
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372365721851
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372365759609
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365763120
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365763804
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372365774301
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365777211
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365779176
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372365783600
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365787481
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372365788338
