what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372704452389
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372704454611
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372704458217
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372704462025
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372704465273
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372704466599
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372704487065
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372704488241
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372704497664
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372704539551
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372704557181
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372704566402
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372704567131
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372704579380
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372704587848
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372704589753
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372704590573
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372704591046
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372704592336
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372704596774
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372704598414
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372704599607
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372704600247
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372704604562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372704608384
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372704611526
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372704615589
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372704616266
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372704646657
activated,editor,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.editors.CommonXmlEditor",1372704654097
activated,editor,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.editors.CommonXmlEditor",1372704656000
activated,editor,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.editors.CommonXmlEditor",1372704656864
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372704674351
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372708240778
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372708241759
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372708242403
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372708248107
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372708296655
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1372708297992
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372708300503
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372708313230
opened,editor,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.editors.CommonXmlEditor",1372708313870
activated,editor,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.editors.CommonXmlEditor",1372708313900
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372708315521
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372708317419
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1372708317437
activated,editor,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.editors.CommonXmlEditor",1372708318211
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372708318829
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372708336747
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372708347246
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372708348485
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372708352406
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372708356061
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372708356821
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372708358570
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372708359577
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372708360911
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372708362097
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372708374426
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372708380314
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372708381014
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372708383817
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372708390413
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372708390997
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372708395172
activated,editor,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.editors.CommonXmlEditor",1372708397335
activated,editor,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.editors.CommonXmlEditor",1372708401964
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1372708405091
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1372708405405
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1372708405747
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372708409387
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372708412161
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372708416056
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372708427334
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372708428881
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1372708430262
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1372708433168
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372708435143
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372708438513
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372708448094
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372708455265
activated,editor,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.editors.CommonXmlEditor",1372708459235
