what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372711888031
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372711891859
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372711895570
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372711896543
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372711901176
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1372711904774
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372711907512
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372711907667
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1372711910629
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372711911911
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372711920423
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372711946481
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372711948632
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372711960133
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372711966283
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372712197054
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372712198242
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372712202311
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372712202709
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372712247946
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1372712250163
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372712252883
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372712259293
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372712260993
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372717097603
activated,editor,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.editors.CommonXmlEditor",1372717098542
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372720613867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372721545552
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372721551026
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372721831182
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1372721834760
activated,editor,com.android.ide.eclipse.adt,22.0.1.v201305230001--685705,"com.android.ide.eclipse.editors.CommonXmlEditor",1372721839484
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372721839734
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372721841408
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1372721842105
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372721845590
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1372721864251
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372721864467
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372721864596
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372721864626
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372721865479
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372721868505
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1372721872695
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372721880692
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1372721881798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372721881862
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1372721881867
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372721882321
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372721890907
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372721893231
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372721895701
